State,Year,Population,House_Income,Per_Cap_Income,Pov_Rate,Unemp_Rate,Geo,Lat,Lng,Crime_Prop,Crime_Viol,Burglary,Larceny,Motor,Assault,Murder,Rape,Robbery,Crime_Tot,All causes,Alzheimer,CLRD,Cancer,Diabetes,Heart,Pneumonia,Kidney,Stroke,Suicide,Injuries
Georgia,2011,9600612.0,49736.0,25383.0,16.055872271476026,4.888396698043833,South,32.6415,-83.4426,3720.9607054216963,382.9130892905577,1000.0820781008545,2411.752500778075,309.1261265427662,227.9125539080217,5.718385452927375,21.51946146766477,127.7626884619439,4103.873794712254,742.119356557686,23.102693869932462,39.966202154612645,162.51047329066103,22.09234161322216,164.29160974321218,15.176115855947517,16.363540157648284,37.122633432118704,12.051315061998132,39.42457001699475
Hawaii,2011,1346554.0,67116.0,29203.0,9.980067639322302,3.2136847092652796,South,20.2927,-156.3737,3258.2428925984404,257.3235087489993,606.3626115254197,2319.9960788798667,331.8842021931538,155.805114388283,1.4852727777720018,26.21506452767583,73.81805705526848,3515.5664013474393,736.9180886915786,14.629936861054215,23.615837166574828,169.17256938823098,19.605600666590426,171.6975331104434,24.135682638795032,14.926991416608615,46.11771974982065,13.441718638836615,38.39430130540625
Idaho,2011,1549987.0,46890.0,22788.0,13.982955986082466,3.862677557940808,North,44.3509,-114.613,2120.985530846388,206.58237778768466,446.1327740168143,1588.981068873481,85.87168795609253,163.54975880442868,2.2580834548934927,28.645401542077447,12.129133986285046,2327.5679086340724,775.9419917715439,26.38731808718396,53.16173619520679,166.0013922697416,25.355051364946927,162.7110420926111,14.000117420339654,9.935567201531367,40.19388549710417,18.12918430928775,45.806835799267986
Illinois,2011,12790182.0,56576.0,29376.0,12.825681448473524,4.868789200966804,North,40.0417,-89.1965,2693.2220354643896,426.28791365126784,607.6457707951303,1855.8140924030633,229.76217226619605,238.4250669771548,6.106246181641512,23.690046005600234,158.06655448687127,3119.509949115658,796.7517584972599,22.75182636181409,42.14169900006115,187.69865823645043,21.055212505967468,195.36078532737065,18.952036804480187,18.654933917281237,42.000966053493215,9.58547736068181,32.57185863344243
Indiana,2011,6454254.0,48393.0,24497.0,13.714210813519271,4.5589157166730665,North,39.8942,-86.2816,3191.941314983885,334.95737849796427,783.5297464277049,2178.8730347457663,229.538533810414,194.87922229277,4.741059152614694,27.23784964149226,108.09924741108732,3526.8986934818495,901.761845753204,31.88594684993804,62.96622351707882,204.20640402438454,28.012532509566558,207.18118623778983,15.973960739691991,21.179829613151266,48.4486665693665,13.649912135469101,41.817381218650524
Iowa,2011,3032266.0,50451.0,26110.0,11.461263622650518,2.9869081406446534,North,42.0751,-93.496,2375.87995248438,259.97059624716303,579.5335897312439,1664.4977716334913,131.8485911196445,202.78563951843273,1.4510600323322558,28.55949972726667,27.174396969131337,2635.850548731543,929.4699079830067,46.36796376043527,60.449841801477845,213.7345470351216,25.39355056581448,222.14409949522897,21.76590048498384,10.421249323113473,47.22540832499524,13.916984855550272,45.14775418779222
Kansas,2011,2830985.0,50594.0,26545.0,12.263717398714581,3.3729956181329115,South,38.4937,-98.3804,3131.5955400682096,360.61653452773504,660.9713580255636,2234.522613154079,236.10156888856704,265.91451385295227,3.920896790339758,39.632848637488365,51.14827524695468,3492.2120745959446,887.1823764520124,28.082098633514484,58.17763075396019,192.1592661211557,25.11493349487899,188.16772254180086,22.854236246394805,20.27562844734253,47.26270185112249,13.91741743598076,47.08608487858465
Kentucky,2011,4316040.0,42248.0,23033.0,17.537997794274382,4.228575268069805,South,37.5347,-85.3021,2758.014290877749,242.4676323667065,758.7974161499893,1843.9588140981084,155.25806062965125,118.395566306151,3.498577399653386,34.73091074225447,85.84257791864765,3000.4819232444556,987.6182797193724,33.80413527214762,69.97154799306772,225.50764126375103,29.378782402387372,229.49277578521054,22.265780669317245,22.497474536843963,47.82161425751385,15.639336058053214,60.42576065096709
Louisiana,2011,4484596.0,44086.0,23853.0,17.854562596051014,3.8362429971395415,South,31.0689,-91.9968,3757.9527788010337,565.7811762754103,1031.1296714352864,2523.616397106897,203.20671025885053,409.6244120986595,11.283067638645711,28.140773438677645,116.73292309942747,4323.733955076444,911.7878176763304,31.35176501963611,42.45644423711746,205.8825365763159,28.20766909661428,218.1021434260745,18.97606830135869,26.06700804264197,46.180302528923455,12.777070665897215,46.626273581834354
Maine,2011,1328543.0,47898.0,26195.0,12.4306100743446,3.7835433252819066,North,45.3695,-69.2428,2546.3233030470224,123.2929607848598,592.001914879684,1873.1798669670459,81.14152120029235,63.829322799487855,1.9570311235692033,29.65654856485639,27.850058296946354,2669.616263831882,978.5908322124312,36.20507578603026,63.37770023251035,240.9406394825008,26.57046102384341,199.31609289274041,22.731669204534587,19.344499952203282,47.420369532638375,17.688550539952413,43.20522557418164
