Year,State,Crime_Prop,Crime_Viol,Burglary,Larceny,Motor,Assault,Murder,Rape,Robbery,Crime_Tot
2011,Alabama,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825
2011,Alaska,2724.977629609121,630.2242176785314,407.0198072507182,2119.8710437945892,198.08677856381377,481.516419938262,4.281414522272632,62.22322439036225,82.20315882763454,3355.2018472876525
2011,Arizona,3627.622991419315,422.7145853652609,863.0547704861306,2452.1201450506387,312.4480758825463,264.27354047173804,6.26442533838548,39.43274287311162,112.74387668202583,4050.337576784576
2011,Arkansas,3813.2854131732556,489.41133895594095,1174.6148384904598,2439.4598208242746,199.21075385852137,360.0227629968701,5.524999240312605,42.47343165990315,81.39014505885505,4302.696752129196
2011,California,2634.144098330502,419.1137487421962,622.3423823074343,1614.6008028304643,397.20091319260354,246.6783160035922,4.847278274888286,20.733475433604188,146.85467903011155,3053.2578470726985
2011,Colorado,2673.769009281199,323.8985586363115,518.0161902964945,1934.209024013197,221.5437949715076,208.3341304103997,3.1211859862373816,46.012322442273664,66.43091979740079,2997.6675679175105
2011,Connecticut,2169.793927893312,277.9236079649888,434.7176021844925,1547.620519750029,187.45580595879008,151.25744342881683,3.625457116744216,19.36387560803694,103.6768318113908,2447.7175358583004
2011,Delaware,3498.0962130804533,577.4221647494095,855.0203399876074,2469.6471708109952,173.42870228185026,362.68487836418007,5.3880761873972896,34.461237281895166,174.88797291593704,4075.518377829863
2011,District of Columbia,4992.634122113628,1251.44160752919,648.1972540007239,3594.043319780118,750.3935483327862,514.8538188920036,18.183195696643683,29.126785699253308,689.2778072412893,6244.075729642818
2011,Florida,3591.4583434441197,525.4380608008428,910.5513375480174,2468.902877431264,212.0041284648383,354.85984189343054,5.265189228171951,28.214779268445835,137.09825041079446,4116.8964042449625
2011,Georgia,3720.9607054216963,382.9130892905577,1000.0820781008545,2411.752500778075,309.1261265427662,227.9125539080217,5.718385452927375,21.51946146766477,127.7626884619439,4103.873794712254
2011,Hawaii,3258.2428925984404,257.3235087489993,606.3626115254197,2319.9960788798667,331.8842021931538,155.805114388283,1.4852727777720018,26.21506452767583,73.81805705526848,3515.5664013474393
2011,Idaho,2120.985530846388,206.58237778768466,446.1327740168143,1588.981068873481,85.87168795609253,163.54975880442868,2.2580834548934927,28.645401542077447,12.129133986285046,2327.5679086340724
2011,Illinois,2693.2220354643896,426.28791365126784,607.6457707951303,1855.8140924030633,229.76217226619605,238.4250669771548,6.106246181641512,23.690046005600234,158.06655448687127,3119.509949115658
2011,Indiana,3191.941314983885,334.95737849796427,783.5297464277049,2178.8730347457663,229.538533810414,194.87922229277,4.741059152614694,27.23784964149226,108.09924741108732,3526.8986934818495
2011,Iowa,2375.87995248438,259.97059624716303,579.5335897312439,1664.4977716334913,131.8485911196445,202.78563951843273,1.4510600323322558,28.55949972726667,27.174396969131337,2635.850548731543
2011,Kansas,3131.5955400682096,360.61653452773504,660.9713580255636,2234.522613154079,236.10156888856704,265.91451385295227,3.920896790339758,39.632848637488365,51.14827524695468,3492.2120745959446
2011,Kentucky,2758.014290877749,242.4676323667065,758.7974161499893,1843.9588140981084,155.25806062965125,118.395566306151,3.498577399653386,34.73091074225447,85.84257791864765,3000.4819232444556
2011,Louisiana,3757.9527788010337,565.7811762754103,1031.1296714352864,2523.616397106897,203.20671025885053,409.6244120986595,11.283067638645711,28.140773438677645,116.73292309942747,4323.733955076444
2011,Maine,2546.3233030470224,123.2929607848598,592.001914879684,1873.1798669670459,81.14152120029235,63.829322799487855,1.9570311235692033,29.65654856485639,27.850058296946354,2669.616263831882
2011,Maryland,2908.4753976478873,502.3406946167075,624.4699553476875,2003.8368042088052,280.1686380913947,294.1840428341449,6.9554060850215595,20.918514541418222,180.28273115612274,3410.816092264595
2011,Massachusetts,2285.377951352126,433.5229714811845,558.9946419251049,1560.8178277569257,165.56548167009535,301.3715584545809,2.8254543338246654,25.39837754427172,103.92758114850726,2718.9009228333102
2011,Michigan,2533.3998748667045,440.809098543327,703.1313866339617,1579.1954959271197,251.0729923056228,287.3509632108716,6.219368727018197,43.78758144273428,103.45118516270303,2974.2089734100314
2011,Minnesota,2580.107953673513,233.47018580232998,486.54936635475417,1939.1874866194662,154.37110069929275,127.88474837017993,1.4209416485575548,40.03266271202818,64.1318330715643,2813.578139475843
2011,Mississippi,3037.474211113742,270.8763148104306,1039.06382115196,1832.414516183583,165.99587377819867,149.42334359251868,7.846585720566848,29.187946020901684,84.41843947644333,3308.3505259241724
2011,Missouri,3342.7068260496235,451.458930300235,753.466955415912,2331.827015068667,257.41285556504397,315.2891919509749,6.145268093197188,24.66502412269582,105.35944613336709,3794.1657563498584
2011,Montana,2430.1676546058725,280.30612888587723,340.53887963013835,1942.2009779682435,147.42779700749043,222.7187354378168,2.950590830377655,37.23849116959386,17.398311448088933,2710.4737834917496
2011,Nebraska,2807.075989169697,257.68575905609356,481.23036125094524,2099.212326557132,226.63330136161994,160.61235667194873,3.750563273932868,38.55358424233933,54.76925486787262,3064.7617482257906
2011,Nevada,2621.19790708148,577.9914386046811,760.9048565943841,1502.0595527187145,358.2334977683815,377.49738534807415,5.199379366169471,34.15131914613473,161.14335474430274,3199.1893456861612
2011,New Hampshire,2489.2260950778586,217.6438984095429,474.5001751638219,1930.0697387589282,84.65618115510851,133.59566110474034,1.2158877006119715,44.151922128472215,38.68042747571834,2706.8699934874016
