State_Name,House_Income,Population,Med_Age,Per_Cap_Income,Pov_Rate,Unemp_Rate,Year,Lat,Lng,Geo
Washington,58890.0,6652845.0,37.1,30481.0,12.27308016344887,4.29984465292668,2011,47.3826,-120.4472,South
West Virginia,39550.0,1846372.0,41.1,22010.0,16.971823662837174,3.3668188209093293,2011,38.6409,-80.6227,South
Wisconsin,52374.0,5664893.0,38.3,27192.0,11.679920521005428,3.8811853992652643,2011,44.6243,-89.9941,North
Wyoming,56380.0,554697.0,36.9,28952.0,9.897295280125906,2.555088633974945,2011,42.9957,-107.5512,North
Alabama,43160.0,4777326.0,37.8,23587.0,17.631034599690288,4.8306939907387525,2012,32.7794,-86.8287,South
Alaska,69917.0,711139.0,33.8,32537.0,9.369616910336799,4.4110926274610165,2012,64.0685,-152.2782,North
Arizona,50256.0,6410979.0,36.0,25571.0,16.76789145620349,4.619138512230347,2012,34.2744,-111.6602,South
Arkansas,40531.0,2916372.0,37.4,22007.0,18.183859946536312,4.023972250453646,2012,34.8938,-92.4426,South
California,61400.0,37325068.0,35.2,29551.0,14.976797898934839,5.517589412027327,2012,37.1841,-119.4696,South
Colorado,58244.0,5042853.0,36.1,31039.0,12.569829023372286,4.3312585157647865,2012,38.9972,-105.5478,South
Connecticut,69519.0,3572213.0,40.0,37807.0,9.647129104563474,4.974675362303424,2012,41.6219,-72.7273,North
Delaware,60119.0,900131.0,38.7,29733.0,11.182261248640476,4.287264853671299,2012,38.9896,-75.505,South
District of Columbia,64267.0,605759.0,33.9,45004.0,17.43366586381713,5.980596243720687,2012,38.9101,-77.0147,South
Florida,47309.0,18885152.0,40.8,26451.0,15.287941553237168,5.559388666821427,2012,28.6305,-82.4497,South
Georgia,49604.0,9714569.0,35.4,25309.0,16.936129641984117,5.265596445915408,2012,32.6415,-83.4426,South
Hawaii,67492.0,1362730.0,38.4,29227.0,10.49371482245199,3.392014559010222,2012,20.2927,-156.3737,South
Idaho,47015.0,1567803.0,34.7,22581.0,14.772519251462079,4.164362486868567,2012,44.3509,-114.613,North
Illinois,56853.0,12823860.0,36.6,29519.0,13.33814467718768,5.176998189312735,2012,40.0417,-89.1965,North
Indiana,48374.0,6485530.0,37.0,24558.0,14.295254204359551,4.770049633568884,2012,39.8942,-86.2816,North
Iowa,51129.0,3047646.0,38.0,26545.0,11.834379714704397,3.0080921471850735,2012,42.0751,-93.49600000000001,North
Kansas,51273.0,2851183.0,36.0,26845.0,12.824711707386022,3.525028032223817,2012,38.4937,-98.3804,South
Kentucky,42610.0,4340167.0,38.0,23210.0,18.005873967522447,4.483928844212676,2012,37.5347,-85.3021,South
Louisiana,44673.0,4529605.0,35.9,24264.0,18.1301460061087,4.037084911377482,2012,31.0689,-91.9968,South
Maine,48219.0,1329084.0,42.8,26464.0,12.914458378853405,3.9363952917949505,2012,45.3695,-69.2428,North
Maryland,72999.0,5785496.0,37.9,36056.0,9.197413670323167,4.264457187421788,2012,39.055,-76.7909,South
Massachusetts,66658.0,6560595.0,39.1,35485.0,10.64363826756567,4.656818474543848,2012,42.2596,-71.8083,North
Michigan,48471.0,9897264.0,38.8,25547.0,15.98443771935355,6.212312816956282,2012,44.3467,-85.4102,North
Minnesota,59126.0,5313081.0,37.4,30656.0,10.960401318933402,3.904740018079905,2012,46.2807,-94.3053,North
Mississippi,38882.0,2967620.0,36.0,20670.0,21.570551485702346,4.822922072232968,2012,32.7364,-89.6678,South
Missouri,47333.0,5982413.0,37.9,25546.0,14.526512963916066,4.338951523407027,2012,38.3566,-92.458,North
Montana,45456.0,990785.0,39.9,25002.0,14.445010774285036,3.5871556392153696,2012,47.0527,-109.6333,South
Nebraska,51381.0,1827306.0,36.3,26523.0,12.052934757506405,3.0598049806655263,2012,41.5378,-99.7951,North
Nevada,54083.0,2704204.0,36.3,27003.0,14.022499781821194,6.1539735907498105,2012,39.3289,-116.6312,South
New Hampshire,64925.0,1317474.0,41.1,32758.0,8.182324660676416,3.713621672989372,2012,43.6805,-71.5811,North
New Jersey,71637.0,8793888.0,38.9,35928.0,9.67216093723277,5.041319607436438,2012,40.1907,-74.6728,North
New Mexico,44886.0,2055287.0,36.6,23749.0,19.128180151969044,4.294631358053644,2012,34.4071,-106.1126,South
New York,57683.0,19398125.0,38.0,32104.0,14.508665141605182,4.483572510229726,2012,42.9538,-75.5268,North
North Carolina,46450.0,9544249.0,37.4,25285.0,16.3812155361831,5.213495582523046,2012,35.5557,-79.3877,South
North Dakota,51641.0,676253.0,36.9,28700.0,11.671667260625831,1.8793262284973227,2012,47.4501,-100.4659,North
Ohio,48246.0,11533561.0,38.8,25857.0,14.943216583325826,4.9353187623492865,2012,40.2862,-82.7937,North
