All causes,Alzheimer,CLRD,Cancer,Diabetes,Heart,Pneumonia,Kidney,Stroke,Suicide,Injuries,State,Geo
1025.4192589496956,31.301185653524943,61.338528010137715,215.54847428837198,26.919862224229394,251.5469441954205,20.03191625605802,22.054065531117505,54.09249310784122,13.77589193634274,56.072514273003634,Alabama,South
549.3054832075786,10.275394853454317,27.68648057736302,133.437419277497,15.270378462772387,105.46551106531584,8.277401409727089,7.56383232268165,23.97592132472674,20.408075889499546,54.94481970249878,Alaska,North
763.4235826106495,37.05005212727735,49.957608617955735,168.68188127793644,27.456171508289003,168.2400578283778,10.887792149838742,6.232866520559861,33.894170344715384,18.304114338859335,48.85304999405905,Arizona,South
1023.9550154561853,34.60030774245769,68.54452182512826,224.3495004019437,31.35437068877403,247.51996596600466,25.104215298170395,27.176090013287624,58.426866966305795,15.953435306402644,52.1421803304502,Arkansas,South
649.0321673176591,31.25574802808825,36.130075846921216,152.69197061337547,20.81462406543826,161.68053406619563,16.770717245707235,7.030176471224695,36.52499918851368,10.808997760297762,29.27842636573147,California,South
655.7108339990185,26.318645703304895,43.314006815461994,141.9837573481276,15.90798018791956,124.38429572250523,12.444470577385175,9.061507701979496,32.33951415417571,18.384792293127287,46.91847321247162,Colorado,South
829.8081149534087,22.848811131108896,39.76761100924857,192.14922718744344,19.44818856424029,202.51972080045596,19.560605839178095,16.918799878139673,36.95717913580344,10.398597931746975,37.63168278543027,Connecticut,North
880.6137018777446,22.787072209201035,51.63573012922402,213.95152527456742,25.144355541187352,203.06312131253534,14.92946110257999,16.725486498379087,46.921163465251404,11.786416659931572,37.94103648625592,Delaware,South
772.6174541842395,20.203550774048537,25.422801390677744,180.14832773526615,25.591164313794817,197.1529829700903,16.162840619238832,10.101775387024269,35.18785093146787,6.229428155331633,31.147140776658162,District of Columbia,South
930.9111393906945,24.116064889604658,55.00089438656452,223.02678071080803,27.25163489743877,218.94946954021145,13.125517456001825,16.116615808184875,45.005596136335654,15.41030993611303,47.627489146299325,Florida,South
742.119356557686,23.10269386993246,39.966202154612645,162.51047329066105,22.092341613222157,164.2916097432122,15.176115855947517,16.363540157648284,37.1226334321187,12.05131506199813,39.42457001699475,Georgia,South
736.9180886915786,14.629936861054217,23.615837166574828,169.17256938823098,19.605600666590423,171.6975331104434,24.13568263879503,14.926991416608617,46.11771974982065,13.441718638836615,38.394301305406245,Hawaii,South
775.9419917715439,26.387318087183957,53.1617361952068,166.00139226974161,25.35505136494693,162.7110420926111,14.000117420339656,9.935567201531368,40.19388549710417,18.129184309287755,45.80683579926799,Idaho,North
796.7517584972599,22.751826361814086,42.141699000061145,187.69865823645043,21.055212505967468,195.36078532737065,18.952036804480187,18.654933917281237,42.00096605349322,9.58547736068181,32.57185863344243,Illinois,North
901.7618457532039,31.88594684993804,62.96622351707882,204.20640402438454,28.01253250956656,207.18118623778986,15.973960739691993,21.179829613151263,48.448666569366495,13.649912135469101,41.81738121865052,Indiana,North
929.4699079830068,46.367963760435266,60.44984180147784,213.7345470351216,25.393550565814476,222.14409949522897,21.76590048498384,10.421249323113473,47.225408324995236,13.916984855550272,45.14775418779223,Iowa,North
887.1823764520124,28.082098633514484,58.177630753960194,192.1592661211557,25.11493349487899,188.16772254180083,22.854236246394805,20.27562844734253,47.262701851122486,13.917417435980761,47.086084878584664,Kansas,South
987.6182797193724,33.80413527214762,69.97154799306772,225.50764126375105,29.378782402387372,229.49277578521054,22.265780669317245,22.49747453684396,47.821614257513836,15.639336058053216,60.42576065096709,Kentucky,South
911.7878176763303,31.351765019636108,42.45644423711746,205.8825365763159,28.20766909661428,218.1021434260745,18.976068301358694,26.067008042641966,46.18030252892345,12.777070665897217,46.62627358183435,Louisiana,South
978.5908322124312,36.205075786030264,63.37770023251035,240.94063948250076,26.570461023843414,199.31609289274041,22.73166920453459,19.34449995220328,47.42036953263838,17.688550539952416,43.20522557418164,Maine,North
762.5670155119502,16.07239200598967,35.7357956749228,178.6615462791628,22.60942780018286,184.0306316781268,18.0596508874244,12.42908405669266,40.19841211042535,9.727109261759475,27.350957762904326,Maryland,South
824.75626233545,27.93207300666884,40.70804042918037,198.0121393188536,17.50553228565282,180.6601643339521,21.774425246540083,18.94897091271542,37.86723036528058,8.98310209395342,34.15114368709813,Massachusetts,North
902.2419060258426,28.990120678937334,52.3354334370802,205.8338888261128,28.33491975955941,235.44897038199522,17.640024752482734,16.55138322490094,44.77542282887332,12.30769727016081,39.826135884033874,Michigan,North
754.4252859408243,27.490484427426825,41.11257836493192,179.77753737550182,22.526661601799102,137.1682338074226,12.883204280255162,13.186338498614107,40.80944414657297,12.940041946197464,43.935515773399594,Minnesota,North
990.2255893394663,32.975952920485675,57.29360435620793,212.3313153177529,33.68620421415768,248.08063043257684,20.394358575438837,22.457469476105118,51.61159400683194,13.156559678019413,58.30824906145365,Mississippi,South
937.7074657619578,32.35500441418301,58.631902135094485,209.4260353181654,24.144523273272014,231.8747332433147,20.232371727602764,20.903985726859286,50.92513149362588,15.665396532658406,53.20861909109806,Missouri,North
927.4012213411148,26.250083939221895,64.81125375691607,205.7274020352972,25.6396168708679,195.4512063846716,15.87214377720394,10.581429184802625,46.80247524047316,23.60472664302124,61.962407437930764,Montana,South
853.5840768733099,32.92773933144004,58.90590553765152,188.07971711928062,25.37145744131058,180.08219249104138,17.92548623570856,11.80324324443579,44.675827233612104,10.644981056897699,37.39532205480125,Nebraska,North
