Community Area Name,Homicide_rate_per_100k,Homicide,Violence,Property Crimes,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Birth Rate,General Fertility Rate,Low Birth Weight,Preterm Births,Teen Birth Rate,Below Poverty Level,Dependency,Unemployment
Burnside,70.29999999999418,12,1281,1349,7.599999999999385,191.19999999998768,32.80000000000083,86.09999999999573,69.5,44.0,99.09999999999323,12.900000000000961,64.0,7.900000000000646,13.199999999999024,68.70000000000569,22.5,40.39999999999671,23.39999999999855
Calumet Heights,19.5,15,3522,6358,33.5,216.6000000000595,36.0,81.39999999999635,48.0,40.400000000012014,39.19999999999988,10.0,57.40000000001535,9.300000000000594,16.399999999995913,39.300000000000246,12.0,42.30000000000352,17.200000000005026
Chatham,45.2000000000191,92,15145,23263,41.89999999995195,213.5,24.10000000001475,73.20000000008305,51.5,47.899999999946296,50.299999999963944,14.400000000015087,71.2999999999197,15.400000000015616,15.599999999984286,68.20000000007548,25.3000000000279,40.0,19.0
Chicago Lawn,22.399999999973645,112,19932,25245,25.0,179.30000000021116,26.100000000035823,73.0,42.89999999994173,22.10000000002545,61.70000000008929,20.100000000018717,85.29999999988387,9.400000000013335,10.80000000001194,67.40000000001743,22.199999999970284,40.0,11.900000000015428
Clearing,9.399999999998196,8,2709,3834,23.600000000002307,189.3999999999579,22.5,72.0,58.59999999998703,18.70000000000357,53.5,14.600000000003236,68.30000000001121,7.399999999999281,8.0,38.70000000000774,5.900000000000577,36.400000000006685,9.600000000001891
Douglas,13.59999999999346,22,7479,8416,34.30000000002001,269.9000000001565,33.19999999998087,119.10000000006254,74.5,85.5,62.10000000003446,10.299999999993883,42.199999999975006,11.700000000006776,10.20000000000606,34.199999999980065,26.099999999985442,31.0,16.70000000000797
Dunning,3.6999999999987763,5,3558,6895,23.700000000007428,191.5,25.90000000000787,42.5,53.90000000001587,24.400000000006923,32.0,12.5,64.69999999997812,6.800000000001992,9.8999999999967,19.900000000003217,8.300000000000383,34.90000000001184,8.60000000000292
East Garfield Park,38.39999999996245,74,14947,13286,21.699999999978022,236.80000000016815,24.800000000025054,97.2999999999015,56.299999999965394,78.10000000006477,47.5,19.400000000016405,80.79999999991941,17.5,16.300000000013828,93.20000000009465,39.69999999997121,43.19999999998861,16.400000000015147
East Side,10.700000000000141,13,3809,4212,15.299999999996402,182.89999999994996,12.899999999996565,73.90000000001346,45.90000000001256,26.20000000000695,33.29999999999205,17.700000000004692,85.80000000002362,6.399999999998987,11.0,53.0,18.700000000005065,42.5,14.5
Edgewater,5.7999999999991125,23,6286,11793,18.5,162.0,16.20000000000779,48.800000000026124,40.09999999999358,23.699999999995537,31.5,12.099999999997337,48.10000000001014,7.5,7.399999999996287,15.09999999999324,16.599999999991745,23.40000000001262,9.0
